Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Cherry MX blue switch","The main button",1,1.75,"https://www.digikey.com/en/products/detail/cherry-americas-llc/MX2A-E1NB/21738397?gclsrc=aw.ds&gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLlj5uJB4-UCn8Jcq0vyVTZ4ea&gclid=CjwKCAjwqazPBhALEiwAOuXqdCz_dlkZwhjgh_24bJ5zJWTk9k1aX59YHyKA8zXzAMtSSEA7STq8FBoCcMoQAvD_BwE","Digkikey"
"WS2812B","The RGB LEDs, one extra because its SMD",2,1.36,"https://www.digikey.com/en/products/detail/sparkfun-electronics/16347/11630204","Digikey"
"100µF capacitor","to stabilize voltage during WIFI peaks",1,0.45,"https://www.digikey.com/en/products/detail/nichicon/UPW1H101MPD/589640?gclsrc=aw.ds&gad_source=1&gad_campaignid=20228387720&gbraid=0AAAAADrbLlil683OaSPSESvxX-Ci8hL8c&gclid=CjwKCAjw46HPBhAMEiwASZpLRPG64ffxjeE-H9QIviqLggNZI-giQukbrM7XxPDN5vtHO0DAxoICaBoCgp0QAvD_BwE","Digikey"
"1µF capacitor","To stabilize the LDO",2,1.60,"https://www.digikey.com/en/products/detail/murata-electronics/RDER72A105K2M1H03A/4771353","Digikey"
"0.1µF capacitor","for the LED",1,0.28,"https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/K104K15X7RF5TL2/286538","Digikey"
"330Ω Resistor","For the LED",1,0.10,"https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CFM12JT330R/1741936","Digikey"
"SPST slide switch","for on & off-ing",1,4.21,"https://www.digikey.com/en/products/detail/c-k/L101011ML04Q/3753550","Digikey"
"3xAAA battery holder","To hold the batteries",1,1.74,"https://www.digikey.com/en/products/detail/keystone-electronics/2480/303825?gclsrc=aw.ds&gad_source=1&gad_campaignid=20243136172&gbraid=0AAAAADrbLlgQYe09PPf0O7EKtdKZZmIhf&gclid=CjwKCAjw46HPBhAMEiwASZpLRHULFnkGrp_fAm7Zs8xUfdqgpxbOTEhgJAsfNiPpHGBhjguWk6aUqRoCTKYQAvD_BwE","Digikey"
"Low Dropout Regulator MCP1700","To control the voltage",1,0.50,"https://www.digikey.com/en/products/detail/microchip-technology/MCP1700-1202E-TO/651107","Digikey"
"7 pin headers ","to connect the MCU to the PCB",2,0.20,"https://www.digikey.com/en/products/detail/adam-tech/PH1-07-UA/9830505","Digikey"
"Seeed Xiao Esp32-C3","The MCU",1,4.99,"https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/113991054/16652880","Digikey"
